frame,time,id,class,center_x,center_y,speed_kmh,center_y_inverted,delta_x,delta_y,theta,delta_theta,cum_delta_theta,windowed_delta_theta,turn_label,distance_moved,distance_moved_meters,overall_turn_label
1531,52.793103448275865,3,car,242,261,0.2768181818181818,-261,0.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,straight,1.0,0.18421052631578946,straight
1561,53.82758620689656,3,car,242,262,0.2768181818181818,-262,0.0,-1.0,-1.5707963267948966,-3.141592653589793,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,straight
1591,54.86206896551724,3,car,242,261,0.4982727272727272,-261,0.0,1.0,1.5707963267948966,-3.141592653589793,-6.283185307179586,-6.283185307179586,straight,1.0,0.18421052631578946,straight
1621,55.89655172413793,3,car,242,261,0.4429090909090908,-261,0.0,0.0,0.0,-1.5707963267948966,-4.71238898038469,-4.71238898038469,straight,0.0,0.0,straight
1651,56.93103448275862,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,straight
1681,57.96551724137931,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1711,59.0,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1741,60.03448275862069,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1771,61.06896551724138,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1801,62.10344827586207,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1831,63.13793103448276,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1861,64.17241379310344,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1891,65.20689655172414,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1921,66.24137931034483,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1951,67.27586206896552,3,car,242,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1981,68.3103448275862,3,car,242,262,0.2768181818181818,-262,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,straight
2011,69.34482758620689,3,car,242,262,0.2214545454545454,-262,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
2041,70.37931034482759,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,straight,0.0,0.0,straight
2071,71.41379310344827,3,car,242,262,0.0553636363636363,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2101,72.44827586206897,3,car,242,261,0.4982727272727272,-261,0.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,straight,1.0,0.18421052631578946,straight
2131,73.48275862068965,3,car,242,261,0.6263680432619745,-261,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
2161,74.51724137931035,3,car,242,262,0.4982727272727272,-262,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
2191,75.55172413793103,3,car,243,262,0.5536363636363636,-262,1.0,0.0,0.0,1.5707963267948966,0.0,0.0,straight,1.0,0.18421052631578946,straight
2221,76.58620689655173,3,car,243,262,0.4982727272727272,-262,0.0,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,straight,0.0,0.0,straight
2251,77.62068965517241,3,car,243,262,0.4429090909090908,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2281,78.65517241379311,3,car,243,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2311,79.6896551724138,3,car,243,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2341,80.72413793103448,3,car,243,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2371,81.75862068965517,3,car,242,262,0.1107272727272727,-262,-1.0,0.0,3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
2401,82.79310344827586,3,car,242,261,0.6358669415373899,-261,0.0,1.0,1.5707963267948966,-1.5707963267948966,-4.71238898038469,-4.71238898038469,straight,1.0,0.18421052631578946,straight
2431,83.82758620689656,3,car,243,261,0.1107272727272727,-261,1.0,0.0,0.0,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
2461,84.86206896551724,3,car,243,261,0.4429090909090908,-261,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,straight
2491,85.89655172413794,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2521,86.93103448275862,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2551,87.96551724137932,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2581,89.0,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
